household_ID,district,campaign,Strategy,Ward,Village,Sub-village,dog_total,dog_vacc_status (owner),number_dogs_seen,microchip_scanned_dogs_yes(microchip),dogs_vacc_cert (Cert)
RCT1122,Rorya,Sub-village,2,Mkoma,Oboke,Oboke Juu,1,1,1,1,1
RCT1121,Rorya,Sub-village,2,Mkoma,Oboke,Oboke Juu,1,0,1,1,0
RCT1120,Rorya,Sub-village,2,Mkoma,Oboke,Oboke Juu,1,1,1,1,1
RCT1119,Rorya,Sub-village,2,Mkoma,Oboke,Oboke Juu,1,1,1,1,1
RCT1118,Rorya,Sub-village,2,Mkoma,Oboke,Oboke Juu,1,1,1,1,1
RCT1117,Rorya,Sub-village,2,Mkoma,Oboke,Oboke Juu,1,1,1,0,0
RCT1134,Rorya,Sub-village,2,Mkoma,Oboke,Obama Street,1,1,1,1,0
RCT1130,Rorya,Sub-village,2,Mkoma,Oboke,Obama Street,1,1,1,1,1
RCT1129,Rorya,Sub-village,2,Mkoma,Oboke,Obama Street,1,1,1,1,1
RCT1126,Rorya,Sub-village,2,Mkoma,Oboke,Obama Street,1,0,0,0,0
RCT1145,Rorya,Sub-village,2,Mkoma,Oboke,Nyatike,1,1,1,1,1
RCT1143,Rorya,Sub-village,2,Mkoma,Oboke,Nyatike,1,1,1,1,1
RCT1140,Rorya,Sub-village,2,Mkoma,Oboke,Nyatike,1,1,1,1,1
RCT1137,Rorya,Sub-village,2,Mkoma,Oboke,Nyatike,1,0,1,0,0
RCT1136,Rorya,Sub-village,2,Mkoma,Oboke,Nyatike,1,1,1,1,1
20,Rorya,Discretion,3,Bukura,"Bwiri,Bwiri",Bwiri B,1,0,1,0,0
19,Rorya,Discretion,3,Bukura,"Bwiri,Bwiri",Bwiri B,1,0,1,0,0
18,Rorya,Discretion,3,Bukura,"Bwiri,Bwiri",Bwiri B,1,1,1,1,1
15,Rorya,Discretion,3,Bukura,"Bwiri,Bwiri",Bwiri B,1,1,1,1,1
14,Rorya,Discretion,3,Bukura,"Bwiri,Bwiri",Bwiri B,1,1,1,1,1
RCT1149,Rorya,Sub-village,2,Mkoma,Obwere,Bondeni,1,1,0,0,1
1.14E+14,Rorya,Sub-village,2,Mkoma,Obwere,Bondeni,1,1,1,1,1
RCT0056,Tarime,pulse,0,Nyamwaga,Nyamwaga,Nyamwaga Senta,1,0,1,0,0
RCT0054,Tarime,pulse,0,Nyamwaga,Nyamwaga,Nyamwaga Senta,1,1,1,1,1
RCT0051,Tarime,pulse,0,Nyamwaga,Nyamwaga,Nyamwaga Senta,1,1,1,1,1
RCT0050,Tarime,pulse,0,Nyamwaga,Nyamwaga,Makerero,1,1,1,1,1
RCT0048,Tarime,pulse,0,Nyamwaga,Nyamwaga,Makerero,1,0,1,0,0
RCT0046,Tarime,pulse,0,Nyamwaga,Nyamwaga,Makerero,1,1,1,1,1
RCT0043,Tarime,pulse,0,Nyamwaga,Nyamwaga,Makerero,1,1,1,1,1
RCT0042,Tarime,pulse,0,Nyamwaga,Nyamwaga,Makerero,1,0,1,0,0
RCT0038,Tarime,pulse,0,Nyamwaga,Nyamwaga,Mesero,1,0,0,0,0
RCT0034,Tarime,pulse,0,Nyamwaga,Nyamwaga,Mesero,1,1,0,0,0
RCT0033,Tarime,pulse,0,Nyamwaga,Nyamwaga,Mesero,1,1,1,1,1
RCT0032,Tarime,pulse,0,Nyamwaga,Nyamwaga,Mesero,1,1,0,0,1
RCT1157,Rorya,Sub-village,2,Mkoma,Obwere,Nyamatheng'eng'e,1,1,1,1,1
RCT1156,Rorya,Sub-village,2,Mkoma,Obwere,Nyamatheng'eng'e,1,1,0,0,0
RCT1155,Rorya,Sub-village,2,Mkoma,Obwere,Nyamatheng'eng'e,1,0,1,0,0
RCT1152,Rorya,Sub-village,2,Mkoma,Obwere,Nyamatheng'eng'e,1,0,1,0,0
RCT1151,Rorya,Sub-village,2,Mkoma,Obwere,Nyamatheng'eng'e,1,1,1,1,1
RCT1162,Rorya,Sub-village,2,Mkoma,Obwere,Kandege,1,0,1,0,0
RCT1160,Rorya,Sub-village,2,Mkoma,Obwere,Kandege,1,0,1,0,0
RCT1179,Rorya,Sub-village,2,Mkoma,Michire,Okebe,1,1,1,1,1
RCT1178,Rorya,Sub-village,2,Mkoma,Michire,Okebe,1,1,1,1,1
RCT1177,Rorya,Sub-village,2,Mkoma,Michire,Okebe,1,1,0,0,1
RCT1176,Rorya,Sub-village,2,Mkoma,Michire,Okebe,1,1,1,1,1
RCT1175,Rorya,Sub-village,2,Mkoma,Michire,Okebe,1,0,1,0,0
RCT1174,Rorya,Sub-village,2,Mkoma,Michire,Okebe,1,1,0,0,1
RCT1173,Rorya,Sub-village,2,Mkoma,Michire,Okebe,1,0,1,0,0
RCT1171,Rorya,Sub-village,2,Mkoma,Michire,Okebe,1,1,1,0,1
RCT0617,Butiama,Village,1,Buswahili,Wegero,Nyirobi B,1,0,1,0,0
RCT0615,Butiama,Village,1,Buswahili,Wegero,Nyirobi B,1,1,1,1,1
RCT0610,Butiama,Village,1,Buswahili,Wegero,Kitorare A,1,1,1,1,1
RCT0608,Butiama,Village,1,Buswahili,Wegero,Kitorare A,1,1,1,1,1
RCT0606,Butiama,Village,1,Buswahili,Wegero,Kitorare A,1,1,1,1,1
RCT0603,Butiama,Village,1,Buswahili,Wegero,Kitorare A,1,1,1,1,1
RCT0601,Butiama,Village,1,Buswahili,Wegero,Kitorare A,1,0,1,0,0
RCT0598,Butiama,Village,1,Buswahili,Wegero,Nyirema,1,0,1,0,0
RCT0590,Butiama,Village,1,Buswahili,Kongoto,Senta,1,1,1,1,1
RCT0587,Butiama,Village,1,Buswahili,Kongoto,Senta,1,0,1,0,0
RCT0584,Butiama,Village,1,Buswahili,Kongoto,Senta,1,0,1,0,0
RCT0583,Butiama,Village,1,Buswahili,Kongoto,Senta,1,0,1,0,0
RCT0581,Butiama,Village,1,Buswahili,Kongoto,Senta,1,1,1,1,0
RCT0572,Butiama,Village,1,Buswahili,Kongoto,Kiabakari B,1,0,1,0,0
RCT0571,Butiama,Village,1,Buswahili,Kongoto,Kiabakari B,1,1,1,1,1
RCT1197,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1197,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1197,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1197,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1198,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1198,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1198,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1198,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1200,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1200,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1193,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1193,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1191,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1191,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1190,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1190,Rorya,Sub-village,2,Mkoma,Michire,Matangwe A,1,1,1,1,1
RCT1189,Rorya,Sub-village,2,Mkoma,Michire,Ziwani,1,0,1,0,0
RCT1188,Rorya,Sub-village,2,Mkoma,Michire,Ziwani,1,0,1,0,0
RCT1187,Rorya,Sub-village,2,Mkoma,Michire,Ziwani,1,1,1,1,0
RCT1186,Rorya,Sub-village,2,Mkoma,Michire,Ziwani,1,1,0,0,1
RCT1185,Rorya,Sub-village,2,Mkoma,Michire,Ziwani,1,1,1,1,1
RCT1184,Rorya,Sub-village,2,Mkoma,Michire,Ziwani,1,1,1,1,1
RCT1210,Rorya,Sub-village,2,Mkoma,Kabwana,Nyakina,1,0,1,0,0
RCT1208,Rorya,Sub-village,2,Mkoma,Kabwana,Nyakina,1,0,1,0,0
RCT1204,Rorya,Sub-village,2,Mkoma,Kabwana,Nyakina,1,1,1,1,1
RCT1202,Rorya,Sub-village,2,Mkoma,Kabwana,Nyakina,1,1,1,1,1
RCT0501,Rorya,Discretion,3,Bukura,Nyambori,Vunja Amri,1,1,1,1,1
RCT0528,Rorya,Discretion,3,Bukura,Nyambori,Zahanati,1,1,1,1,1
RCT0526,Rorya,Discretion,3,Bukura,Nyambori,Zahanati,1,1,1,1,0
RCT0523,Rorya,Discretion,3,Bukura,Nyambori,Zahanati,1,1,1,1,1
RCT0522,Rorya,Discretion,3,Bukura,Nyambori,Zahanati,1,1,1,1,1
RCT0521,Rorya,Discretion,3,Bukura,Nyambori,Zahanati,1,1,1,1,0
RCT0538,Rorya,Discretion,3,Bukura,Thabache,Obembe,1,1,1,1,0
RCT0537,Rorya,Discretion,3,Bukura,Thabache,Obembe,1,0,1,0,0
RCT0535,Rorya,Discretion,3,Bukura,Thabache,Obembe,1,1,1,1,1
