household_ID,campaign_type,Strategy,RegionName.y,district,ward,village,sub_village,dog_total,number_dogs_seen,owner_recall_vacc,owner_recall_vacc_no,owner_recall_not_vacc_no,vacc_card_status,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,,variable,meaning
RCT0783,continuous,2,Mara,2,8,44,51,3,3,1,1,2,1,1,NA,no,1,,,
RCT0782,continuous,2,Mara,2,8,44,51,3,3,1,1,2,1,1,NA,no,1,,,
RCT0781,continuous,2,Mara,2,8,44,51,1,1,0,NA,1,,0,NA,,NA,,,
RCT0800,continuous,2,Mara,2,8,44,84,4,4,1,4,0,1,4,NA,no,4,,,
RCT0799,continuous,2,Mara,2,8,44,84,6,6,1,3,3,1,3,NA,no,3,,,
RCT0798,continuous,2,Mara,2,8,44,84,4,4,1,2,2,1,2,NA,no,2,,,
RCT0797,continuous,2,Mara,2,8,44,84,1,1,1,1,0,1,1,NA,no,1,,,
RCT0796,continuous,2,Mara,2,8,44,84,14,14,1,2,12,1,2,NA,no,2,,,
RCT0795,continuous,2,Mara,2,8,44,84,1,1,0,NA,1,,0,NA,,NA,,,
RCT0794,continuous,2,Mara,2,8,44,84,1,1,0,NA,1,,0,NA,,NA,,,
RCT0793,continuous,2,Mara,2,8,44,84,1,1,1,1,0,1,1,NA,no,1,,,
RCT0792,continuous,2,Mara,2,8,44,84,1,1,1,1,0,1,1,NA,no,1,,,
RCT0791,continuous,2,Mara,2,8,44,84,2,2,1,1,1,1,1,NA,no,1,,,
RCT0810,continuous,3,Mara,2,7,18,23,1,1,0,NA,1,,0,NA,,NA,,,
RCT0809,continuous,3,Mara,2,7,18,23,1,1,1,1,0,1,1,NA,no,1,,,
RCT0808,continuous,3,Mara,2,7,18,23,2,2,1,1,1,1,1,NA,no,1,,,
RCT0807,continuous,3,Mara,2,7,18,23,4,4,1,2,2,1,2,NA,no,2,,,
RCT0806,continuous,3,Mara,2,7,18,23,2,2,1,2,0,1,2,NA,no,2,,,
RCT0805,continuous,3,Mara,2,7,18,23,5,5,1,3,2,1,3,NA,no,3,,,
RCT0804,continuous,3,Mara,2,7,18,23,4,4,1,4,3,1,1,NA,no,1,,,
RCT0803,continuous,3,Mara,2,7,18,23,1,1,0,NA,1,,0,NA,,NA,,,
RCT0802,continuous,3,Mara,2,7,18,23,2,2,1,2,0,1,2,NA,no,2,,,
RCT0801,continuous,3,Mara,2,7,18,23,4,4,1,2,2,1,2,NA,no,2,,,
RCT0820,continuous,3,Mara,2,7,18,114,5,5,1,2,3,1,2,NA,no,2,,,
RCT0819,continuous,3,Mara,2,7,18,114,3,3,1,1,2,1,1,NA,no,1,,,
RCT0818,continuous,3,Mara,2,7,18,114,3,3,0,NA,3,,0,NA,,NA,,,
RCT0817,continuous,3,Mara,2,7,18,114,3,3,1,3,0,1,3,NA,no,3,,,
RCT0816,continuous,3,Mara,2,7,18,114,4,4,0,NA,4,,0,NA,,NA,,,
RCT0815,continuous,3,Mara,2,7,18,114,3,3,1,2,1,1,2,NA,no,2,,,
RCT0814,continuous,3,Mara,2,7,18,114,1,1,1,1,0,1,1,NA,no,1,,,
